Season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,AGSPM,AGCPM,WR,PE,GE,DE
2023-24,1,Arsenal,28,20,4,4,70,24,46,64,2.5,0.857142857,71.42857143,2.285714286,1.09375,0.375
2023-24,2,Liverpool,28,19,7,2,65,26,39,64,2.321428571,0.928571429,67.85714286,2.285714286,1.015625,0.40625
2023-24,3,Manchester City,28,19,6,3,63,28,35,63,2.25,1,67.85714286,2.25,1,0.444444444
2023-24,4,Aston Villa,28,17,4,7,59,41,18,55,2.107142857,1.464285714,60.71428571,1.964285714,1.072727273,0.745454545
2023-24,5,Tottenham,27,16,5,6,59,39,20,53,2.185185185,1.444444444,59.25925926,1.962962963,1.113207547,0.735849057
2023-24,6,Manchester United,28,15,2,11,39,39,0,47,1.392857143,1.392857143,53.57142857,1.678571429,0.829787234,0.829787234
2023-24,7,West Ham,28,12,7,9,45,49,-4,43,1.607142857,1.75,42.85714286,1.535714286,1.046511628,1.139534884
2023-24,8,Brighton,28,11,9,8,50,44,6,42,1.785714286,1.571428571,39.28571429,1.5,1.19047619,1.047619048
2023-24,9,Wolverhampton Wanderers,28,12,5,11,42,44,-2,41,1.5,1.571428571,42.85714286,1.464285714,1.024390244,1.073170732
2023-24,10,Newcastle United,28,12,4,12,59,48,11,40,2.107142857,1.714285714,42.85714286,1.428571429,1.475,1.2
2023-24,11,Chelsea,27,11,6,10,47,45,2,39,1.740740741,1.666666667,40.74074074,1.444444444,1.205128205,1.153846154
2023-24,12,Fulham,28,10,5,13,40,44,-4,35,1.428571429,1.571428571,35.71428571,1.25,1.142857143,1.257142857
2023-24,13,Bournemouth,27,8,8,11,37,49,-12,32,1.37037037,1.814814815,29.62962963,1.185185185,1.15625,1.53125
2023-24,14,Everton,28,8,7,13,29,39,-10,31,1.035714286,1.392857143,28.57142857,1.107142857,0.935483871,1.258064516
2023-24,15,Crystal Palace,28,7,8,13,33,48,-15,29,1.178571429,1.714285714,25,1.035714286,1.137931034,1.655172414
2023-24,16,Brentford,28,7,5,16,40,52,-12,26,1.428571429,1.857142857,25,0.928571429,1.538461538,2
2023-24,17,Nottingham Forest,28,6,6,16,34,50,-16,24,1.214285714,1.785714286,21.42857143,0.857142857,1.416666667,2.083333333
2023-24,18,Luton,27,5,6,16,38,55,-17,21,1.407407407,2.037037037,18.51851852,0.777777778,1.80952381,2.619047619
2023-24,19,Burnley,28,3,5,20,27,62,-35,14,0.964285714,2.214285714,10.71428571,0.5,1.928571429,4.428571429
2023-24,20,Sheffield United,28,3,5,20,24,74,-50,14,0.857142857,2.642857143,10.71428571,0.5,1.714285714,5.285714286
