Rk,Season,Team,Pts,Pts/MP,xG,xGA,Poss,Gls,Ast,PK,PKatt,CrdR,GA90,SoTA,Saves,CS,PKsv,PKm,Sh,SoT,Sh/90,G/Sh,G/SoT,Crs,OG
1,2016-17,Chelsea,93,2.45,61.8,28.62,55.1,83,53,2,4,0.0,0.87,105,72,16,0,0,582,205,15.32,0.14,0.4,697,1
2,2016-17,Tottenham,86,2.26,70.07,33.78,60.5,84,59,7,9,0.0,0.68,110,84,17,0,0,670,257,17.63,0.11,0.3,763,1
3,2016-17,Manchester City,78,2.05,79.85,29.61,65.0,75,54,7,9,0.0,1.03,105,66,12,1,2,633,215,16.66,0.11,0.32,810,1
4,2016-17,Liverpool,76,2.0,66.63,37.65,62.0,77,52,7,8,0.0,1.11,114,72,12,2,0,639,236,16.82,0.11,0.3,815,0
5,2016-17,Arsenal,75,1.97,63.58,47.07,58.9,73,55,4,6,0.0,1.16,167,123,13,0,0,568,201,14.95,0.12,0.34,701,1
6,2016-17,Manchester Utd,69,1.82,57.57,31.62,56.5,54,37,3,4,1.0,0.76,116,87,17,1,0,589,207,15.5,0.09,0.25,852,1
7,2016-17,Everton,61,1.61,49.63,45.78,52.1,58,45,3,4,1.0,1.16,148,104,13,1,1,500,192,13.16,0.11,0.29,775,1
8,2016-17,Southampton,46,1.21,49.98,43.08,54.4,39,27,3,6,1.0,1.26,130,82,14,1,2,549,179,14.45,0.07,0.2,960,0
9,2016-17,Bournemouth,46,1.21,50.02,62.99,51.5,53,33,7,10,2.0,1.76,189,122,10,2,1,452,160,11.89,0.1,0.29,642,4
10,2016-17,West Brom,45,1.18,38.21,47.9,37.3,43,33,1,1,0.0,1.34,160,109,6,0,0,399,124,10.5,0.11,0.34,770,1
11,2016-17,West Ham,45,1.18,48.25,59.67,47.1,46,28,3,4,4.0,1.68,182,118,10,1,2,498,136,13.11,0.09,0.32,759,0
12,2016-17,Leicester City,44,1.16,44.34,51.3,41.9,46,32,4,6,0.0,1.66,190,127,9,0,0,435,145,11.45,0.1,0.29,735,2
13,2016-17,Stoke City,44,1.16,47.87,48.67,46.3,37,24,4,6,1.0,1.47,180,124,11,1,0,426,135,11.21,0.08,0.24,725,5
14,2016-17,Crystal Palace,41,1.08,45.4,50.03,45.4,48,32,4,7,0.0,1.66,176,113,7,0,0,441,137,11.61,0.1,0.32,880,0
15,2016-17,Swansea City,41,1.08,39.5,65.13,47.9,45,31,3,3,0.0,1.84,179,109,8,1,1,403,145,10.61,0.1,0.29,867,5
16,2016-17,Burnley,40,1.05,35.59,55.27,40.3,39,24,6,6,1.0,1.45,208,153,10,1,0,388,121,10.21,0.09,0.27,676,2
17,2016-17,Watford,40,1.05,36.25,52.62,46.1,39,27,3,3,3.0,1.79,187,119,7,1,0,424,143,11.16,0.08,0.25,696,2
18,2016-17,Hull City,34,0.89,33.84,71.77,45.9,36,24,3,3,0.0,2.11,214,134,5,2,1,396,126,10.42,0.08,0.26,748,5
19,2016-17,Middlesbrough,28,0.74,30.93,55.3,47.3,26,22,2,2,1.0,1.39,171,118,11,0,1,349,98,9.18,0.07,0.24,735,0
20,2016-17,Sunderland,24,0.63,34.22,65.66,39.7,28,11,5,5,3.0,1.82,248,179,6,0,0,388,122,10.21,0.06,0.19,633,2
1,2017-18,Manchester City,100,2.63,78.6,23.8,71.0,103,85,6,8,,0.71,85,58,18,2,0,656,254,17.26,0.15,0.38,691,2
2,2017-18,Manchester Utd,81,2.13,55.7,40.7,54.7,67,53,1,3,,0.74,143,117,19,0,0,509,170,13.39,0.13,0.39,753,2
3,2017-18,Tottenham,77,2.03,64.7,33.9,61.8,70,51,2,3,,0.95,124,89,16,0,1,620,209,16.32,0.11,0.33,825,1
4,2017-18,Liverpool,75,1.97,72.9,33.8,60.3,82,58,2,3,,1.0,104,64,17,2,0,635,226,16.71,0.13,0.35,764,0
5,2017-18,Chelsea,70,1.84,54.4,33.8,55.6,60,42,3,3,,1.0,117,81,16,0,0,603,210,15.87,0.09,0.27,755,2
6,2017-18,Arsenal,63,1.66,68.3,47.8,61.4,73,61,4,5,,1.34,147,94,13,1,0,589,223,15.5,0.12,0.31,572,0
7,2017-18,Burnley,54,1.42,32.3,51.2,43.7,35,26,0,0,,1.03,160,121,12,1,1,378,126,9.95,0.09,0.28,707,1
8,2017-18,Everton,49,1.29,40.5,52.4,45.5,42,26,5,8,,1.53,178,119,10,1,1,351,110,9.24,0.11,0.34,629,0
9,2017-18,Leicester City,47,1.24,50.0,48.1,48.0,53,38,5,6,,1.58,164,104,9,2,0,417,137,10.97,0.12,0.35,744,2
10,2017-18,Newcastle Utd,44,1.16,41.6,52.4,41.7,38,29,0,1,,1.24,148,102,9,2,0,450,146,11.84,0.08,0.26,616,3
11,2017-18,Crystal Palace,44,1.16,53.5,48.2,45.2,44,26,8,10,,1.45,170,117,9,0,0,466,134,12.26,0.08,0.27,703,2
12,2017-18,Bournemouth,44,1.16,38.8,59.2,48.1,45,36,3,3,,1.61,170,109,6,1,0,462,153,12.16,0.09,0.27,707,1
13,2017-18,West Ham,42,1.11,36.7,55.1,45.2,48,29,2,4,,1.79,187,119,10,1,0,368,127,9.68,0.13,0.36,733,1
14,2017-18,Watford,41,1.08,45.0,51.8,49.7,42,27,3,6,,1.68,156,93,9,0,0,434,126,11.42,0.09,0.31,713,1
15,2017-18,Brighton,40,1.05,37.0,50.8,43.7,33,25,5,7,,1.42,172,121,10,2,0,377,110,9.92,0.07,0.25,680,5
16,2017-18,Huddersfield,37,0.97,31.3,48.5,45.7,25,19,2,2,,1.53,158,99,10,2,0,360,106,9.47,0.06,0.22,765,1
17,2017-18,Southampton,36,0.95,39.9,45.2,51.3,36,23,3,3,,1.47,165,108,8,1,0,447,136,11.76,0.07,0.24,800,0
18,2017-18,Swansea City,33,0.87,31.6,58.6,45.3,27,20,1,1,,1.47,190,133,9,3,0,338,95,8.89,0.08,0.27,694,2
19,2017-18,Stoke City,33,0.87,36.5,62.5,41.4,34,28,0,3,,1.79,216,150,6,0,0,380,122,10.0,0.09,0.28,598,2
20,2017-18,West Brom,31,0.82,36.5,47.9,40.7,31,24,1,1,,1.47,154,100,10,0,0,377,111,9.92,0.08,0.27,784,2
1,2018-19,Manchester City,98,2.58,84.3,24.7,67.9,91,71,3,4,1.0,0.61,81,58,20,0,0,679,252,17.87,0.13,0.35,783,0
2,2018-19,Liverpool,97,2.55,73.7,28.8,61.8,86,55,7,7,2.0,0.58,96,74,21,0,1,568,211,14.95,0.14,0.37,721,0
3,2018-19,Chelsea,72,1.89,58.6,36.4,62.9,61,52,5,5,0.0,1.03,124,84,16,1,0,602,192,15.84,0.09,0.29,692,0
4,2018-19,Tottenham,71,1.87,54.9,47.1,59.0,66,47,4,4,3.0,1.03,156,118,13,2,0,533,182,14.03,0.12,0.34,643,3
5,2018-19,Arsenal,70,1.84,60.1,54.2,58.1,69,52,4,5,2.0,1.34,182,132,8,0,0,462,159,12.16,0.14,0.41,605,1
6,2018-19,Manchester Utd,66,1.74,61.4,50.6,54.7,65,40,9,12,4.0,1.42,171,120,7,0,0,514,210,13.53,0.11,0.27,638,3
7,2018-19,Wolves,57,1.5,52.1,42.1,46.8,46,35,4,4,1.0,1.21,141,99,9,0,1,473,144,12.45,0.09,0.29,622,4
8,2018-19,Everton,54,1.42,49.7,45.7,51.5,53,34,2,5,4.0,1.21,136,89,14,3,0,493,163,12.97,0.1,0.31,814,2
9,2018-19,Leicester City,52,1.37,52.4,43.7,50.9,48,34,5,7,5.0,1.26,138,90,10,0,0,508,173,13.37,0.08,0.25,779,0
10,2018-19,West Ham,52,1.37,47.6,61.9,48.6,51,33,5,5,1.0,1.45,198,143,7,1,0,436,149,11.47,0.11,0.31,631,1
11,2018-19,Watford,50,1.32,48.2,59.2,46.7,51,39,1,1,4.0,1.55,180,123,7,1,0,436,148,11.47,0.11,0.34,570,3
12,2018-19,Crystal Palace,49,1.29,47.6,50.1,45.2,48,33,10,11,2.0,1.39,163,110,12,1,0,482,135,12.68,0.08,0.28,577,1
13,2018-19,Newcastle Utd,45,1.18,39.1,53.6,40.4,41,33,1,3,2.0,1.26,140,93,11,0,0,443,136,11.66,0.09,0.29,711,1
14,2018-19,Bournemouth,45,1.18,53.3,57.2,46.9,55,43,7,9,1.0,1.84,173,106,10,0,0,437,153,11.5,0.11,0.31,613,3
15,2018-19,Burnley,40,1.05,44.4,62.1,41.2,43,32,2,2,1.0,1.79,199,134,8,1,0,358,112,9.42,0.11,0.37,692,4
16,2018-19,Southampton,39,1.03,46.9,55.1,43.4,44,27,4,5,3.0,1.71,175,112,7,1,0,479,155,12.61,0.08,0.26,666,3
17,2018-19,Brighton,36,0.95,35.3,59.1,42.4,35,24,5,6,4.0,1.58,170,110,7,0,0,364,99,9.58,0.08,0.3,636,0
18,2018-19,Cardiff City,34,0.89,42.4,61.5,35.4,33,20,3,4,1.0,1.82,207,135,10,3,0,413,113,10.87,0.07,0.27,562,0
19,2018-19,Fulham,26,0.68,41.3,68.2,48.8,33,24,2,3,2.0,2.13,226,146,5,1,1,451,140,11.87,0.07,0.22,611,2
20,2018-19,Huddersfield,16,0.42,28.8,60.9,47.2,21,13,1,1,4.0,2.0,186,110,5,1,0,400,116,10.53,0.05,0.17,768,1
1,2019-20,Liverpool,99,2.61,68.9,37.7,62.9,83,69,5,5,1.0,0.87,107,75,15,0,0,586,224,15.42,0.13,0.35,896,1
2,2019-20,Manchester City,81,2.13,92.0,36.2,66.2,100,69,6,11,4.0,0.92,110,76,17,0,0,735,250,19.34,0.13,0.38,915,1
3,2019-20,Manchester Utd,66,1.74,62.2,37.7,55.8,65,43,10,14,0.0,0.95,131,96,13,0,0,530,201,13.95,0.1,0.27,635,1
4,2019-20,Chelsea,66,1.74,69.2,38.6,60.4,69,46,7,7,0.0,1.42,115,64,9,0,0,618,210,16.26,0.1,0.3,862,3
5,2019-20,Leicester City,62,1.63,62.2,45.5,57.1,65,48,5,7,3.0,1.08,135,94,13,2,0,533,183,14.03,0.11,0.33,779,2
6,2019-20,Tottenham,59,1.55,47.9,54.2,52.0,56,39,3,4,3.0,1.24,181,134,8,2,0,440,154,11.58,0.12,0.34,641,2
7,2019-20,Wolves,59,1.55,54.1,38.0,48.3,49,34,4,4,2.0,1.05,129,88,13,2,0,457,142,12.03,0.1,0.32,718,1
8,2019-20,Arsenal,56,1.47,47.0,55.3,53.8,56,35,3,3,5.0,1.26,193,144,10,1,0,403,146,10.61,0.13,0.36,699,0
